id,code,name,category,level1,level2,source,desensitize,create_time,update_time
case_type_6a530db1f670,6a530db1f670,产品责任纠纷,civil,民事,产品责任纠纷,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_136eeee078d5,136eeee078d5,申请确认仲裁协议效力,civil,民事,申请确认仲裁协议效力,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_662bd81bb638,662bd81bb638,名誉权纠纷,civil,民事,名誉权纠纷,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_a5dcac8ef5e9,a5dcac8ef5e9,故意杀人罪,criminal,刑事,故意杀人罪,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_1537ce9adf4e,1537ce9adf4e,行政确认,administrative,行政,行政确认,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_52cf8f49100e,52cf8f49100e,二审无罪赔偿,state_compensation,国家赔偿,二审无罪赔偿,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_4228dd47c40e,4228dd47c40e,破坏交通工具罪,criminal,刑事,破坏交通工具罪,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_5e22abc19216,5e22abc19216,生产、销售伪劣产品罪,criminal,刑事,生产、销售伪劣产品罪,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_56efba71c642,56efba71c642,合同纠纷,civil,民事,合同纠纷,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_3298e50e039b,3298e50e039b,非法采矿罪,criminal,刑事,非法采矿罪,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_8c3bdf64b2d7,8c3bdf64b2d7,专利相关行政案件,administrative,行政,专利相关行政案件,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_70cf4d2878a0,70cf4d2878a0,侵犯公民个人信息罪,criminal,刑事,侵犯公民个人信息罪,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_e6c972839c4b,e6c972839c4b,非法制造、买卖、运输、邮寄、储存枪支、弹药、爆炸物罪,criminal,刑事,非法制造、买卖、运输、邮寄、储存枪支、弹药、爆炸物罪,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_2e3d61221d86,2e3d61221d86,交通肇事罪,criminal,刑事,交通肇事罪,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_13f0f37647d2,13f0f37647d2,借款合同纠纷,civil,民事,借款合同纠纷,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_270b0eb31932,270b0eb31932,继承纠纷,civil,民事,继承纠纷,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_d43be1412b5f,d43be1412b5f,盗窃罪,criminal,刑事,盗窃罪,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_024f014e86e7,024f014e86e7,侵害商业秘密纠纷,civil,民事,侵害商业秘密纠纷,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_01a2503b71a2,01a2503b71a2,隐私权、个人信息保护纠纷,civil,民事,隐私权、个人信息保护纠纷,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_60601adc5542,60601adc5542,销售假冒注册商标的商品罪,criminal,刑事,销售假冒注册商标的商品罪,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_998700410aa9,998700410aa9,非刑事司法赔偿,state_compensation,国家赔偿,非刑事司法赔偿,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_08c86578f16c,08c86578f16c,无罪逮捕赔偿,state_compensation,国家赔偿,无罪逮捕赔偿,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_72073dc60571,72073dc60571,信用卡诈骗罪,criminal,刑事,信用卡诈骗罪,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_aa6e16ad1329,aa6e16ad1329,股东知情权纠纷,civil,民事,股东知情权纠纷,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_06df11cf3807,06df11cf3807,行政协议,administrative,行政,行政协议,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_b84eb0392232,b84eb0392232,行政给付,administrative,行政,行政给付,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_36ba9d105213,36ba9d105213,损害股东利益责任纠纷,civil,民事,损害股东利益责任纠纷,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_10fc80b31b8c,10fc80b31b8c,首次执行案件,execution,执行实施,首次执行案件,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_1771bd21d45f,1771bd21d45f,再审无罪赔偿,state_compensation,国家赔偿,再审无罪赔偿,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_9d9967bf2b24,9d9967bf2b24,执行复议案件,execution,执行,执行复议案件,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_4563ec57f6c3,4563ec57f6c3,故意毁坏财物罪,criminal,刑事,故意毁坏财物罪,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_7eb68ccb51fe,7eb68ccb51fe,不正当竞争纠纷,civil,民事,不正当竞争纠纷,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_f309c8aae457,f309c8aae457,非法获取计算机信息系统数据、非法控制计算机信息系统罪,criminal,刑事,非法获取计算机信息系统数据、非法控制计算机信息系统罪,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_2662bf39aef3,2662bf39aef3,执行程序中的异议之诉,civil,民事,执行程序中的异议之诉,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_1ae38a3bf2ee,1ae38a3bf2ee,抵押权纠纷,civil,民事,抵押权纠纷,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_8977e320c2b8,8977e320c2b8,制作、复制、出版、贩卖、传播淫秽物品牟利罪,criminal,刑事,制作、复制、出版、贩卖、传播淫秽物品牟利罪,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_621ee110cccc,621ee110cccc,房屋买卖合同纠纷,civil,民事,房屋买卖合同纠纷,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_9760ecb5325d,9760ecb5325d,商标权权属、侵权纠纷,civil,民事,商标权权属、侵权纠纷,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_8956a4ba70dd,8956a4ba70dd,XX（行政行为）公益诉讼,administrative,行政,XX（行政行为）公益诉讼,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_1e57c2556bbd,1e57c2556bbd,买卖合同纠纷,civil,民事,买卖合同纠纷,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_66edacdd6782,66edacdd6782,财产保险合同纠纷,civil,民事,财产保险合同纠纷,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_e1d79b61e835,e1d79b61e835,著作权权属、侵权纠纷,civil,民事,著作权权属、侵权纠纷,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_8db89c89088a,8db89c89088a,非法经营罪,criminal,刑事,非法经营罪,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_d536a72fa7aa,d536a72fa7aa,赠与合同纠纷,civil,民事,赠与合同纠纷,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_f6fc327e3f65,f6fc327e3f65,婚约财产纠纷,civil,民事,婚约财产纠纷,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_3c155ea688cd,3c155ea688cd,执行异议案件,execution,执行,执行异议案件,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
case_type_302cbeef1068,302cbeef1068,帮助信息网络犯罪活动罪,criminal,刑事,帮助信息网络犯罪活动罪,指导案例库分类,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
