id,name,org_type,credit_code,court_level,district_id,source,desensitize,create_time,update_time
court_68d089b5bc00,江苏省泰州市中级人民法院,court,cc_68d089b5bc00,intermediate,CN-32,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_7e67f88cc9b4,广东省深圳市中级人民法院,court,cc_7e67f88cc9b4,intermediate,CN-44,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_8dc1f3f93b16,重庆市綦江区人民法院,court,cc_8dc1f3f93b16,basic,CN-50,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_71312cde4c1e,天津市高级人民法院,court,cc_71312cde4c1e,high,CN-12,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_54a66098a2aa,广西壮族自治区百色市中级人民法院,court,cc_54a66098a2aa,intermediate,CN-45,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_021ce531e839,重庆市高级人民法院,court,cc_021ce531e839,high,CN-50,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_e38b449a2b43,四川省南充市中级人民法院,court,cc_e38b449a2b43,intermediate,CN-51,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_99ed5861e1b2,贵州省黔东南苗族侗族自治州中级人民法院,court,cc_99ed5861e1b2,intermediate,CN-52,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_3c13e9fc3c76,四川省德阳市中级人民法院,court,cc_3c13e9fc3c76,intermediate,CN-51,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_c59f5f4c4ce9,彭水苗族土家族自治县人民法院,court,cc_c59f5f4c4ce9,basic,,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_48b38ff724fc,东台市人民法院,court,cc_48b38ff724fc,basic,,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_cc36c8792b01,最高人民法院,court,cc_cc36c8792b01,supreme,CN,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_0165bcafbd5e,辽宁省高级人民法院,court,cc_0165bcafbd5e,high,CN-21,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_02d08839ce0d,江苏省苏州市中级人民法院,court,cc_02d08839ce0d,intermediate,CN-32,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_f8dc7efceb7e,上海市第二中级人民法院,court,cc_f8dc7efceb7e,intermediate,CN-31,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_5a2d5a68c061,北京市昌平区人民法院,court,cc_5a2d5a68c061,basic,CN-11,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_442ccf913b1e,四川省高级人民法院,court,cc_442ccf913b1e,high,CN-51,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_01fe37735571,江苏省常州市中级人民法院,court,cc_01fe37735571,intermediate,CN-32,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_f410cf3a3790,广东省广州市中级人民法院,court,cc_f410cf3a3790,intermediate,CN-44,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_c33b4f5f88cc,无锡市新吴区人民法院,court,cc_c33b4f5f88cc,basic,,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
court_8463494ba6bb,安徽省高级人民法院,court,cc_8463494ba6bb,high,CN-34,指导案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
