id,case_number,court_id,case_type_id,trial_level,status,source,desensitize,create_time,update_time
ccase_58c50b304c33,(2022)苏1203民初2530号,court_68d089b5bc00,case_type_6a530db1f670,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_9b9001ead4b5,(2023)苏12民终1090号,court_68d089b5bc00,case_type_6a530db1f670,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_5e4b82785782,(2020)粤03民特885号,court_7e67f88cc9b4,case_type_136eeee078d5,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_5b57445de36e,(2023)渝0110民初9086号,court_8dc1f3f93b16,case_type_662bd81bb638,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_d9158edda92c,(2022)津03刑初55号,court_71312cde4c1e,case_type_a5dcac8ef5e9,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_9bdb3b5ad417,(2023)津刑终26号,court_71312cde4c1e,case_type_a5dcac8ef5e9,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_89d6e7be58f1,(2023)桂1029行初1号,court_54a66098a2aa,case_type_1537ce9adf4e,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_0f25d434e6dc,(2023)桂10行终254号,court_54a66098a2aa,case_type_1537ce9adf4e,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_ff60c9e4c6e0,(2017)渝0120刑初30号,court_021ce531e839,case_type_52cf8f49100e,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_254bf9877015,(2017)渝01刑终438号,court_021ce531e839,case_type_52cf8f49100e,second_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_030ff079cda4,(2017)渝0120刑初505号,court_021ce531e839,case_type_52cf8f49100e,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_7b6543e12fdc,(2021)渝01刑终89号,court_021ce531e839,case_type_52cf8f49100e,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_4b81c1eab70d,(2022)渝0120法赔3号,court_021ce531e839,case_type_52cf8f49100e,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_1af6f7487c57,(2022)渝01委赔33号,court_021ce531e839,case_type_52cf8f49100e,second_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_d5f5b433b717,(2023)渝委赔提3号,court_021ce531e839,case_type_52cf8f49100e,retrial,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_c68bd36d41a5,(2015)嘉刑初字第122号,court_e38b449a2b43,case_type_4228dd47c40e,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_bfb6514f52a8,(2016)川13刑终20号,court_e38b449a2b43,case_type_4228dd47c40e,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_7189b35d0dea,(2021)黔2633民初395号,court_99ed5861e1b2,case_type_6a530db1f670,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_b4e7cea156e8,(2021)黔26民终3092号,court_99ed5861e1b2,case_type_6a530db1f670,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_908b005814dd,(2022)川0683刑初37号,court_3c13e9fc3c76,case_type_5e22abc19216,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_9fb482544de9,(2022)川06刑终66号,court_3c13e9fc3c76,case_type_5e22abc19216,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_ffedcb95cbce,(2024)渝0243民初6056号,court_c59f5f4c4ce9,case_type_56efba71c642,first_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_d41d8cd98f00,,court_48b38ff724fc,case_type_3298e50e039b,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_74ecabdb17fc,(2017)京73行初7256号,court_cc36c8792b01,case_type_8c3bdf64b2d7,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_c0da9b6eb973,(2020)最高法知行终205号,court_cc36c8792b01,case_type_8c3bdf64b2d7,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_66d9d44a7551,(2018)辽0211民初11282号,court_0165bcafbd5e,case_type_56efba71c642,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_e6526e38a8a5,(2019)辽02民终3593号,court_0165bcafbd5e,case_type_56efba71c642,second_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_9014ed355f7e,(2020)辽民抗50号,court_0165bcafbd5e,case_type_56efba71c642,retrial,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_eb31d0ec6d4b,(2021)辽民再16号,court_0165bcafbd5e,case_type_56efba71c642,retrial,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_279e65fe627b,(2020)苏0508刑714号,court_02d08839ce0d,case_type_70cf4d2878a0,first_instance,judged,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
ccase_fc74d3699fae,(2021)苏05刑终267号,court_02d08839ce0d,case_type_70cf4d2878a0,second_instance,effective,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
