id,law_id,article,paragraph,item,content,status,source,desensitize,create_time,update_time
provision_562c52feb308,law_30d13637643e,46,,,,effective,中华人民共和国产品质量法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_460d0d236527,law_9d16795a0b81,2,,,,effective,最高人民法院关于审理城镇房屋租赁合同纠纷案件具体应用法律若干问题的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_5dd287fc5cde,law_2473a5eb5b22,7,,,,effective,最高人民法院关于适用《中华人民共和国仲裁法》若干问题的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_1f39d9224444,law_f3f87311d0ec,,,,,effective,中华人民共和国合同法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_5db008c591d2,law_86c882760909,,,,,effective,中华人民共和国仲裁法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_c9162134c88b,law_86c882760909,16,2,,,effective,中华人民共和国仲裁法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_f6fc2e532ad5,law_86c882760909,9,1,,,effective,中华人民共和国仲裁法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_945f63cb3db9,law_2473a5eb5b22,,,,,effective,最高人民法院关于适用《中华人民共和国仲裁法》若干问题的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_85f6351f44fb,law_8b6fea19139b,1024,1,,,effective,中华人民共和国民法典,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_9404b2475637,law_419219d85b1d,15,1,,,effective,中华人民共和国消费者权益保护法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_064f25d50ee6,law_262404fdc2af,15,1,1,,effective,工伤保险条例,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_5d7a4274cff9,law_262404fdc2af,14,,,,effective,工伤保险条例,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_d508d283089c,law_262404fdc2af,15,,,,effective,工伤保险条例,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_576cc347175d,law_916530c63e7a,116,,,,effective,刑法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_4fceca2eabc6,law_30d13637643e,13,,,,effective,中华人民共和国产品质量法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_c8901987a9db,law_8b6fea19139b,1203,,,,effective,中华人民共和国民法典,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_4a9ae79540c1,law_916530c63e7a,140,,,,effective,刑法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_b4a1729f8dd7,law_f4a00253ee0e,1,1,,,effective,最高人民法院、最高人民检察院关于办理生产、销售伪劣商品刑事案件具体应用法律若干问题的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_5b7479447691,law_f4a00253ee0e,1,4,,,effective,最高人民法院、最高人民检察院关于办理生产、销售伪劣商品刑事案件具体应用法律若干问题的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_16e81cf0d126,law_fe3e0ffd5f0b,26,2,1,,effective,产品质量法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_984d438404f1,law_bc903ed447bd,56,1,,,effective,民法典,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_c61f94159ae5,law_bc903ed447bd,518,2,,,effective,民法典,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_d085797fceaf,law_49af87c48b74,93,,,,effective,中华人民共和国长江保护法,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_fef38dd65519,law_8b6fea19139b,1168,,,,effective,中华人民共和国民法典,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_6089c80d2898,law_8b6fea19139b,1235,,,,effective,中华人民共和国民法典,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
provision_783cb956b10e,law_caef4da6ea84,20,2,,,effective,最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
