case_id,provision_id,citation_position,citation_purpose
ccase_58c50b304c33,provision_562c52feb308,judgment_reason,说理依据
ccase_58c50b304c33,provision_460d0d236527,basic_facts,反驳依据
ccase_58c50b304c33,provision_5dd287fc5cde,basic_facts,反驳依据
ccase_58c50b304c33,provision_1f39d9224444,basic_facts,说理依据
ccase_58c50b304c33,provision_5db008c591d2,basic_facts,说理依据
ccase_58c50b304c33,provision_c9162134c88b,judgment_reason,适用依据
ccase_58c50b304c33,provision_f6fc2e532ad5,judgment_reason,适用依据
ccase_58c50b304c33,provision_945f63cb3db9,judgment_essence,说理依据
ccase_58c50b304c33,provision_85f6351f44fb,judgment_reason,适用依据
ccase_58c50b304c33,provision_9404b2475637,judgment_reason,适用依据
ccase_58c50b304c33,provision_064f25d50ee6,judgment_reason,适用依据
ccase_58c50b304c33,provision_5d7a4274cff9,basic_facts,反驳依据
ccase_58c50b304c33,provision_d508d283089c,basic_facts,反驳依据
ccase_58c50b304c33,provision_576cc347175d,judgment_reason,适用依据
ccase_58c50b304c33,provision_4fceca2eabc6,judgment_reason,说理依据
ccase_58c50b304c33,provision_c8901987a9db,judgment_reason,适用依据
ccase_58c50b304c33,provision_4a9ae79540c1,judgment_reason,适用依据
ccase_58c50b304c33,provision_b4a1729f8dd7,judgment_reason,说理依据
ccase_58c50b304c33,provision_5b7479447691,judgment_reason,说理依据
ccase_58c50b304c33,provision_16e81cf0d126,judgment_reason,说理依据
ccase_58c50b304c33,provision_984d438404f1,judgment_reason,说理依据
ccase_58c50b304c33,provision_c61f94159ae5,judgment_reason,说理依据
ccase_58c50b304c33,provision_d085797fceaf,judgment_reason,适用依据
ccase_58c50b304c33,provision_fef38dd65519,judgment_reason,适用依据
ccase_58c50b304c33,provision_6089c80d2898,judgment_reason,适用依据
ccase_58c50b304c33,provision_783cb956b10e,judgment_reason,说理依据
ccase_58c50b304c33,provision_c80e9d55b6eb,judgment_reason,说理依据
ccase_58c50b304c33,provision_bd1c30f9b3dd,judgment_reason,适用依据
ccase_58c50b304c33,provision_59e9751d823d,judgment_reason,适用依据
ccase_58c50b304c33,provision_dea792bea482,judgment_reason,适用依据
ccase_58c50b304c33,provision_9ff0aca2245b,judgment_reason,适用依据
ccase_58c50b304c33,provision_6ced4db51e78,judgment_reason,说理依据
ccase_58c50b304c33,provision_cc508b5a9930,judgment_reason,适用依据
ccase_58c50b304c33,provision_145c7b8a3cc8,judgment_reason,说理依据
ccase_58c50b304c33,provision_7efb66fb0baf,judgment_reason,说理依据
ccase_58c50b304c33,provision_2ca6e698f479,judgment_reason,适用依据
ccase_58c50b304c33,provision_84e1ad73d3be,judgment_reason,说理依据
ccase_58c50b304c33,provision_54e5bf8e2412,judgment_reason,说理依据
ccase_58c50b304c33,provision_1c6c78a3a87e,judgment_reason,说理依据
ccase_58c50b304c33,provision_013a1fa11c3f,judgment_reason,说理依据
ccase_58c50b304c33,provision_0a532ad8ede9,judgment_reason,适用依据
ccase_58c50b304c33,provision_74ccb050e97b,judgment_reason,说理依据
ccase_58c50b304c33,provision_35d3e42bdd39,judgment_reason,说理依据
