case_id,case_type_id
ccase_58c50b304c33,case_type_6a530db1f670
ccase_9b9001ead4b5,case_type_6a530db1f670
ccase_5e4b82785782,case_type_136eeee078d5
ccase_5b57445de36e,case_type_662bd81bb638
ccase_d9158edda92c,case_type_a5dcac8ef5e9
ccase_9bdb3b5ad417,case_type_a5dcac8ef5e9
ccase_89d6e7be58f1,case_type_1537ce9adf4e
ccase_0f25d434e6dc,case_type_1537ce9adf4e
ccase_ff60c9e4c6e0,case_type_52cf8f49100e
ccase_254bf9877015,case_type_52cf8f49100e
ccase_030ff079cda4,case_type_52cf8f49100e
ccase_7b6543e12fdc,case_type_52cf8f49100e
ccase_4b81c1eab70d,case_type_52cf8f49100e
ccase_1af6f7487c57,case_type_52cf8f49100e
ccase_d5f5b433b717,case_type_52cf8f49100e
ccase_c68bd36d41a5,case_type_4228dd47c40e
ccase_bfb6514f52a8,case_type_4228dd47c40e
ccase_7189b35d0dea,case_type_6a530db1f670
ccase_b4e7cea156e8,case_type_6a530db1f670
ccase_908b005814dd,case_type_5e22abc19216
ccase_9fb482544de9,case_type_5e22abc19216
ccase_ffedcb95cbce,case_type_56efba71c642
ccase_d41d8cd98f00,case_type_3298e50e039b
ccase_74ecabdb17fc,case_type_8c3bdf64b2d7
ccase_c0da9b6eb973,case_type_8c3bdf64b2d7
ccase_66d9d44a7551,case_type_56efba71c642
ccase_e6526e38a8a5,case_type_56efba71c642
ccase_9014ed355f7e,case_type_56efba71c642
ccase_eb31d0ec6d4b,case_type_56efba71c642
ccase_279e65fe627b,case_type_70cf4d2878a0
ccase_fc74d3699fae,case_type_70cf4d2878a0
ccase_2e72c5120e04,case_type_e6c972839c4b
ccase_10ca2f892f6e,case_type_2e3d61221d86
ccase_d41d8cd98f00,case_type_13f0f37647d2
ccase_036d6c42d96d,case_type_270b0eb31932
ccase_f8854f4378bd,case_type_270b0eb31932
ccase_1a2da07f32f5,case_type_d43be1412b5f
ccase_f587ef8a368e,case_type_d43be1412b5f
ccase_48d5d05041f2,case_type_024f014e86e7
ccase_1bebe4de36ed,case_type_024f014e86e7
ccase_9f675222c067,case_type_01a2503b71a2
ccase_5e165d5fff78,case_type_01a2503b71a2
ccase_73db37a922dc,case_type_60601adc5542
ccase_b0da37f6b223,case_type_998700410aa9
ccase_ec91b818b799,case_type_998700410aa9
ccase_50e5a9c90cff,case_type_998700410aa9
ccase_970e47e8a2ee,case_type_08c86578f16c
ccase_dfd73b335ccc,case_type_72073dc60571
ccase_498cc36b1a00,case_type_72073dc60571
ccase_54c5a51ed315,case_type_aa6e16ad1329
ccase_dea5f8ef73f8,case_type_aa6e16ad1329
ccase_428a745fa7d7,case_type_06df11cf3807
ccase_ea36dc6a25db,case_type_06df11cf3807
ccase_9e053848950d,case_type_06df11cf3807
ccase_5407dd4996b6,case_type_1537ce9adf4e
ccase_fcd702fdba68,case_type_1537ce9adf4e
ccase_beecb3b286d1,case_type_b84eb0392232
ccase_d41d8cd98f00,case_type_36ba9d105213
ccase_09473bfccb77,case_type_10fc80b31b8c
ccase_d41d8cd98f00,case_type_10fc80b31b8c
ccase_753c47fab983,case_type_1771bd21d45f
ccase_f8bcf1565014,case_type_1771bd21d45f
ccase_c826ebe5be40,case_type_1771bd21d45f
ccase_a6714cd68757,case_type_1771bd21d45f
ccase_952e228a1019,case_type_1771bd21d45f
ccase_e022e950310e,case_type_1771bd21d45f
ccase_6a2c5f91a83c,case_type_9d9967bf2b24
ccase_3625a8ea41ca,case_type_9d9967bf2b24
ccase_fe0d29e9066c,case_type_4563ec57f6c3
ccase_f0d2a8df76f2,case_type_7eb68ccb51fe
ccase_5fbfc0a6dcd2,case_type_7eb68ccb51fe
ccase_409d305c8bfc,case_type_f309c8aae457
ccase_d78c4b0d2d1d,case_type_f309c8aae457
ccase_581530c85e24,case_type_2662bf39aef3
ccase_9830f1adb142,case_type_2662bf39aef3
ccase_c409d3418f31,case_type_2662bf39aef3
ccase_9cae04b4c7ae,case_type_2662bf39aef3
ccase_dc499edc0c06,case_type_1ae38a3bf2ee
ccase_22e56153f701,case_type_1ae38a3bf2ee
ccase_d1aadb8691a6,case_type_8977e320c2b8
ccase_4485c556b88a,case_type_621ee110cccc
ccase_f9c882cb2440,case_type_621ee110cccc
ccase_e0e968d6b05d,case_type_621ee110cccc
ccase_eee2894395c5,case_type_621ee110cccc
ccase_271d5dc4ffb0,case_type_621ee110cccc
ccase_06c279f95600,case_type_621ee110cccc
ccase_11e59a130299,case_type_9760ecb5325d
ccase_6ddfa606012b,case_type_9760ecb5325d
ccase_e03f7b44754e,case_type_8956a4ba70dd
ccase_2b3f7dbde9a1,case_type_1e57c2556bbd
ccase_a6b60fe4df05,case_type_66edacdd6782
ccase_186830f33f9e,case_type_e1d79b61e835
ccase_0d74d707ab8d,case_type_e1d79b61e835
ccase_f6c357a0de0d,case_type_8db89c89088a
ccase_cf73bdaddbd1,case_type_d536a72fa7aa
ccase_919db9f055f1,case_type_d536a72fa7aa
ccase_4cfa9a211aa7,case_type_f6fc327e3f65
ccase_b46fd2b2aacc,case_type_f6fc327e3f65
ccase_fe8b1aa3cebf,case_type_3c155ea688cd
ccase_155399798efe,case_type_3c155ea688cd
ccase_8e13db16cb93,case_type_302cbeef1068
