case_id,subject_id,role_code,role_name
ccase_58c50b304c33,person_991c29638a2c,plaintiff,原告
ccase_9b9001ead4b5,person_991c29638a2c,applicant,上诉人
ccase_58c50b304c33,org_7f985c7bb86d,defendant,被告
ccase_9b9001ead4b5,org_7f985c7bb86d,respondent,被上诉人
ccase_5e4b82785782,person_1d2586a32be3,applicant,申请人
ccase_5e4b82785782,person_971ba1f4731a,respondent,被申请人
ccase_5b57445de36e,org_e74ac7bdb115,plaintiff,原告
ccase_5b57445de36e,person_71bed6d773f3,defendant,被告
ccase_d9158edda92c,person_98bf3388a620,defendant,被告人
ccase_9bdb3b5ad417,person_98bf3388a620,defendant,上诉人
ccase_d9158edda92c,person_dbd86fb60a94,witness,被害人
ccase_89d6e7be58f1,org_4d2d5c33c202,plaintiff,原告
ccase_89d6e7be58f1,org_22acea27e2d5,defendant,被告
ccase_89d6e7be58f1,person_fae1650894eb,third_party,职工
ccase_ff60c9e4c6e0,person_4de6f982e276,defendant,被告人
ccase_254bf9877015,person_4de6f982e276,defendant,上诉人
ccase_030ff079cda4,person_4de6f982e276,defendant,被告人
ccase_7b6543e12fdc,person_4de6f982e276,defendant,上诉人
ccase_4b81c1eab70d,person_4de6f982e276,applicant,赔偿请求人
ccase_1af6f7487c57,person_4de6f982e276,applicant,赔偿请求人
ccase_d5f5b433b717,person_4de6f982e276,applicant,申诉人
ccase_ff60c9e4c6e0,org_b69ad0101410,prosecutor,公诉机关
ccase_4b81c1eab70d,org_51c392943158,respondent,赔偿义务机关
ccase_1af6f7487c57,org_51c392943158,respondent,赔偿义务机关
ccase_d5f5b433b717,org_51c392943158,respondent,赔偿义务机关
ccase_d5f5b433b717,org_89fa76295c18,third_party,刑事拘留实施机关
ccase_c68bd36d41a5,person_b31050677a25,defendant,被告人
ccase_bfb6514f52a8,person_b31050677a25,defendant,上诉人
ccase_c68bd36d41a5,person_03260791e711,witness,被害人
ccase_c68bd36d41a5,person_48acc78569d7,witness,被害人
ccase_c68bd36d41a5,org_c1321148f35b,prosecutor,公诉机关
ccase_7189b35d0dea,person_d7b026d715be,plaintiff,原告
